sxx,syy,szz,sxy,sxz,syz,smises
7.004627074219764715e-01,-4.762296774900473539e-02,-5.735129847570338835e-02,-4.193008508828420175e-03,3.085724103803062432e-02,9.067570439361098342e-03,7.550896406173706055e-01
6.403585083768785768e-01,-4.774280802663077861e-02,-2.915334455180237927e-02,-2.418132306301943365e-03,3.292784224355381484e-02,-6.752599705667250950e-03,6.815017461776733398e-01
7.315475714359592763e-01,-5.217209689825128005e-02,-4.901019021455263469e-02,4.057867549955081199e-03,-3.142482092635544462e-04,-1.919992688346523638e-04,7.821753621101379395e-01
6.874765407409386686e-01,-5.304326503649331448e-02,-4.424975700423139369e-02,-6.944741314097300187e-03,8.951622870272667523e-03,1.249247725397527407e-03,7.364271283149719238e-01
7.024471495106194840e-01,-5.291092677168632297e-02,-5.901315499651332841e-02,-1.819895406527929915e-02,2.707888054967907618e-02,6.149338196473586385e-03,7.606045603752136230e-01
6.632135226144351137e-01,-4.884988578743845733e-02,-3.759083023949300051e-02,-3.649000327327762971e-02,1.798419222737196801e-02,-1.321873478565016233e-02,7.103752493858337402e-01
5.232711979875225294e-01,-3.934821852668538011e-02,-3.662172311885553144e-02,9.461732447637347110e-02,8.257394323694308702e-03,-4.775722428436063901e-04,5.848731398582458496e-01
6.437458517229037724e-01,-5.424799525642690079e-02,-4.557893799727591455e-02,1.002387013771101759e-01,-3.076428585042195046e-02,1.018174339018308380e-02,7.172958254814147949e-01
7.075033867380371433e-01,-4.700811740780516668e-02,-4.177682862336379310e-02,-7.264313266515989289e-04,1.547417761137236721e-03,2.156979189520776517e-03,7.519246339797973633e-01
7.168117370381457132e-01,-6.710253854182759992e-02,-5.254318648322678365e-02,4.304826992911453543e-02,8.508079359018198840e-03,5.564211690755072612e-04,7.804471850395202637e-01
6.915232686142671614e-01,-6.932879975075054158e-02,-4.401065812503932029e-02,5.434374514972593884e-02,-1.614590468076209165e-02,5.838633041410479403e-03,7.549951076507568359e-01
5.979053724630200017e-01,-5.139812167174517832e-02,-2.839308117282052235e-02,3.719396323785521125e-02,-4.277738303992859210e-03,2.414597275002734224e-03,6.414121389389038086e-01
5.955410883301425207e-01,-4.794525276247163514e-02,-1.962837113618046136e-02,3.563093556539087547e-02,-6.122892201800062342e-03,7.472749079527461757e-03,6.330431699752807617e-01
5.895136116808890048e-01,-6.345257851593785747e-02,-2.048066594675901353e-02,7.790941030833677117e-02,-3.163465243754240170e-03,4.730690410939923651e-03,6.468840837478637695e-01
6.026299761722910819e-01,-5.211982473028101137e-02,-3.038755192982287023e-02,3.479814869563332969e-02,-1.240047714435248659e-02,8.099879472027799376e-04,6.473302245140075684e-01
7.303329043920915309e-01,-5.529865737853642549e-02,-2.665240266080737275e-02,-9.788834977234438933e-04,1.723059859659447886e-03,-1.489896435550605580e-02,7.721462845802307129e-01
7.034377848389640198e-01,-3.402878063743169923e-02,-1.833430803770100259e-02,2.961447363447668527e-03,-2.794028000562736105e-03,-1.326098302081781498e-02,7.301413416862487793e-01
7.070942327586196008e-01,-3.396078748384967483e-02,-2.121078110912769099e-02,6.122192088133856375e-04,1.104882600316301399e-03,-1.853507327439946409e-02,7.354672551155090332e-01
7.431294572545189547e-01,-2.118958207950943917e-02,-2.807237764439740602e-02,4.880473412850198553e-04,-3.146215776323410887e-03,-3.943906707658751537e-02,7.708361148834228516e-01
7.262069572153364572e-01,-4.382951544740648631e-02,-4.403313928962865331e-02,-3.287016669826817086e-03,6.828804310035227476e-03,-6.410266044880761835e-03,7.703301906585693359e-01
7.196777150724322780e-01,-3.485754825297171511e-02,-4.220943475638072595e-02,-1.501812791226635798e-03,3.596512778895963412e-03,-1.686174122683516477e-02,7.588301897048950195e-01
6.926316452262797352e-01,-4.423270772026896558e-02,-7.528241999951734709e-02,-1.006396641778985971e-03,6.246504747146535775e-04,-3.818996740570881811e-03,7.529014348983764648e-01
7.245861003208103890e-01,-2.485616785846603283e-02,-3.111184949301926128e-02,8.494179644291364323e-03,-6.046276762361627553e-03,-2.793316169753499653e-02,7.543593645095825195e-01
7.414213332216109675e-01,-8.622924552506677776e-02,-1.422375638288930766e-02,1.982324184143817968e-03,-7.767205163020454890e-03,-1.658885469347354952e-03,7.942266464233398438e-01
7.163865293765518949e-01,-7.786618743546422361e-02,2.021582439007377219e-02,1.694548491554394992e-02,5.002754894434096331e-04,-2.093981764530458700e-02,7.514873147010803223e-01
